City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alice springs,-23.7,133.8833,12.75,22,0,0.0,AU,1697296246
1,zaragoza,41.6561,-0.8773,25.01,41,20,3.6,ES,1697296367
2,talnakh,69.4865,88.3972,0.67,93,99,3.41,RU,1697296367
3,ust-nera,64.5667,143.2,-15.99,95,95,0.89,RU,1697296367
4,tiksi,71.6872,128.8694,-9.36,94,100,3.78,RU,1697296368
5,port blair,11.6667,92.75,27.42,80,95,1.8,IN,1697296368
6,santana,-0.0583,-51.1817,32.1,62,20,4.63,BR,1697296368
7,avarua,-21.2078,-159.775,21.03,88,33,1.03,CK,1697296140
8,waitangi,-43.9535,-176.5597,12.68,93,5,2.68,NZ,1697296368
9,yekaterinoslavka,50.3734,129.1139,7.62,69,74,4.65,RU,1697296368
10,tutong,4.8,114.65,26.05,87,100,2.1,BN,1697296368
11,ribeira grande,38.5167,-28.7,22.22,78,20,3.6,PT,1697296368
12,college,64.8569,-147.8028,-1.72,87,100,0.0,US,1697296368
13,papao,-17.75,-149.55,22.82,73,74,5.9,PF,1697296368
14,boende,-0.2167,20.8667,25.0,94,100,1.84,CD,1697296369
15,luganville,-15.5333,167.1667,24.92,91,81,4.13,VU,1697296369
16,al kharijah,25.4514,30.5464,30.19,21,0,5.71,EG,1697296369
17,margaret river,-33.95,115.0667,13.95,78,52,6.03,AU,1697296369
18,ushuaia,-54.8,-68.3,6.35,54,100,12.07,AR,1697296369
19,bilibino,68.0546,166.4372,-10.58,96,100,1.07,RU,1697296369
20,mount gambier,-37.8333,140.7667,9.66,88,100,1.58,AU,1697296369
21,grytviken,-54.2811,-36.5092,-1.84,77,35,10.66,GS,1697296369
22,adamstown,-25.066,-130.1015,19.92,74,100,4.5,PN,1697296369
23,st. john's,47.5649,-52.7093,14.88,98,100,4.02,CA,1697296214
24,port-aux-francais,-49.35,70.2167,1.16,67,63,9.33,TF,1697296370
25,olonkinbyen,70.9221,-8.7187,-2.38,84,100,11.0,SJ,1697296370
26,zhob,31.3411,69.4481,20.94,19,18,0.81,PK,1697296370
27,tazovsky,67.4667,78.7,1.67,98,100,4.99,RU,1697296370
28,ilulissat,69.2167,-51.1,-1.99,93,100,2.57,GL,1697296370
29,east london,-33.0153,27.9116,18.52,72,75,4.63,ZA,1697296370
30,ancud,-41.8697,-73.8203,9.86,68,89,1.77,CL,1697296370
31,colonia,50.9333,6.95,14.41,62,0,7.2,DE,1697296370
32,labytnangi,66.6572,66.4183,-1.46,89,100,2.18,RU,1697296371
33,vilyuysk,63.7553,121.6247,-4.9,62,9,1.34,RU,1697296371
34,zalingei,12.9096,23.4741,34.07,21,4,4.27,SD,1697296371
35,jabor,5.921,169.6434,28.34,76,100,3.68,MH,1697296371
36,blackmans bay,-43.0167,147.3167,6.4,72,12,0.89,AU,1697296371
37,shira,54.4911,89.9531,2.83,54,67,2.01,RU,1697296371
38,puerto natales,-51.7236,-72.4875,12.25,47,20,11.32,CL,1697296371
39,palikir - national government center,6.9248,158.1611,27.02,76,97,1.87,FM,1697296371
40,grand falls-windsor,48.9332,-55.6649,13.06,95,100,3.13,CA,1697296372
41,gadzhiyevo,69.2551,33.3362,0.97,78,100,8.12,RU,1697296372
42,edinburgh of the seven seas,-37.0676,-12.3116,14.84,95,100,10.31,SH,1697296372
43,kingston,17.997,-76.7936,32.36,67,70,0.45,JM,1697296372
44,badger,64.8,-147.5333,-1.77,89,100,0.0,US,1697296372
45,hawaiian paradise park,19.5933,-154.9731,21.69,92,40,2.57,US,1697296372
46,nova sintra,14.8667,-24.7167,25.71,74,100,5.72,CV,1697296372
47,albany,42.6001,-73.9662,13.01,75,100,0.45,US,1697296372
48,tsiombe,-25.3,45.4833,26.5,56,6,6.21,MG,1697296373
49,baymak,52.5933,58.3225,5.42,84,38,3.02,RU,1697296373
50,kapa'a,22.0752,-159.319,23.39,91,100,1.54,US,1697296373
51,afaahiti,-17.75,-149.2833,21.93,73,52,4.88,PF,1697296373
52,mwanza,-2.5167,32.9,27.07,56,28,4.48,TZ,1697296373
53,minab,27.1467,57.0801,30.71,57,0,2.08,IR,1697296373
54,iqaluit,63.7506,-68.5145,0.85,80,100,3.6,CA,1697296334
55,hermanus,-34.4187,19.2345,18.71,70,88,10.61,ZA,1697296235
56,port mathurin,-19.6833,63.4167,23.46,57,76,4.72,MU,1697296374
57,susuman,62.7833,148.1667,-12.79,95,81,0.45,RU,1697296374
58,lorengau,-2.0226,147.2712,27.44,77,98,1.55,PG,1697296374
59,vorkuta,67.5,64.0,-1.47,94,85,5.06,RU,1697296374
60,udachny,66.4167,112.4,-8.64,85,5,2.1,RU,1697296374
61,vorgashor,67.5833,63.95,-1.49,93,89,5.21,RU,1697296374
62,chokwe,-24.5333,32.9833,24.8,51,65,6.29,MZ,1697296096
63,pandan,14.0453,124.1694,26.58,84,46,2.57,PH,1697296374
64,lihue,21.9789,-159.3672,22.98,92,100,1.54,US,1697296374
65,port alfred,-33.5906,26.891,19.54,68,99,1.34,ZA,1697296375
66,coquimbo,-29.9533,-71.3436,16.32,69,0,2.15,CL,1697296250
67,ebolowa,2.9,11.15,21.87,98,100,0.34,CM,1697296375
68,al mawsil al jadidah,36.3346,43.0978,28.36,19,0,1.14,IQ,1697296375
69,bethel,41.3712,-73.414,13.01,82,100,1.54,US,1697296120
70,cruzeiro do sul,-29.5128,-51.9853,23.07,62,42,1.61,BR,1697296375
71,stanley,54.868,-1.6985,10.44,64,20,8.23,GB,1697296375
72,horta,38.5333,-28.6333,21.8,80,20,3.6,PT,1697296375
73,meadow lake,34.8014,-106.5436,12.5,33,75,0.66,US,1697296375
74,yellowknife,62.456,-114.3525,7.29,97,75,7.72,CA,1697296376
75,cockburn town,21.4612,-71.1419,28.54,74,90,2.37,TC,1697296106
76,port lincoln,-34.7333,135.8667,13.62,70,100,4.95,AU,1697296376
77,monterrey,25.6667,-100.3167,23.73,32,49,2.56,MX,1697296118
78,garissa,-0.4536,39.6401,35.95,32,82,5.24,KE,1697296376
79,bandar,2.05,99.75,23.37,96,99,1.33,ID,1697296376
80,mountain home,43.133,-115.6912,11.19,60,75,5.14,US,1697296376
81,sur,22.5667,59.5289,29.17,67,0,4.46,OM,1697296376
82,whitehorse,60.7161,-135.0538,3.23,93,100,2.68,CA,1697296201
83,margate,51.3813,1.3862,14.39,60,6,2.68,GB,1697296140
84,homa bay,-0.5273,34.4571,24.47,65,75,3.7,KE,1697296377
85,mount pearl,47.5166,-52.7813,14.42,98,100,9.77,CA,1697296377
86,klyuchi,52.2667,79.1667,10.01,35,100,5.28,RU,1697296377
87,nemuro,43.3236,145.575,14.18,72,100,4.06,JP,1697296377
88,kill devil hills,36.0307,-75.676,22.21,83,100,2.57,US,1697296377
89,keflavik,64.0049,-22.5624,5.24,75,75,5.14,IS,1697296377
90,hasaki,35.7333,140.8333,18.22,79,100,8.38,JP,1697296377
91,wailua homesteads,22.0669,-159.378,22.64,91,100,1.54,US,1697296378
92,panadura,6.7132,79.9026,25.96,84,96,0.8,LK,1697296378
93,piti village,13.4626,144.6933,24.49,94,100,2.06,GU,1697296378
94,valle de la pascua,9.2155,-66.0073,33.84,47,77,2.75,VE,1697296378
95,saipan,15.1355,145.701,27.39,94,100,3.6,MP,1697296234
96,bredasdorp,-34.5322,20.0403,17.34,74,95,10.21,ZA,1697296231
97,novyy urengoy,66.0833,76.6333,3.24,99,100,1.32,RU,1697296378
98,jamestown,42.097,-79.2353,8.59,97,100,5.66,US,1697296120
99,mirny,62.5353,113.9611,-2.09,92,100,3.13,RU,1697296378
100,kodiak,57.79,-152.4072,2.73,93,100,1.54,US,1697296379
101,teknaf,20.8624,92.3058,25.14,82,0,3.14,BD,1697296379
102,antonio enes,-16.2325,39.9086,28.29,73,0,10.01,MZ,1697296379
103,saint-philippe,-21.3585,55.7679,23.77,81,85,4.93,RE,1697296379
104,west island,-12.1568,96.8225,25.99,78,100,7.2,CC,1697296379
105,thompson,55.7435,-97.8558,6.09,87,20,1.54,CA,1697296379
106,zavetnoye,47.1194,43.8903,14.93,61,2,0.64,RU,1697296379
107,prado,-17.3411,-39.2208,28.44,63,12,4.57,BR,1697296178
108,ostersund,63.1792,14.6357,4.25,93,75,4.63,SE,1697296380
109,port moresby,-9.4431,147.1797,24.2,92,94,4.27,PG,1697296328
110,enewetak,11.3474,162.3373,28.19,74,100,3.1,MH,1697296380
111,suva,-18.1416,178.4415,23.71,94,75,1.54,FJ,1697296340
112,isafjordur,66.0755,-23.124,0.02,74,75,1.54,IS,1697296380
113,hami,42.8,93.45,19.87,20,38,2.81,CN,1697296380
114,pursat,12.3333,103.6667,24.73,93,100,1.36,KH,1697296380
115,hassi messaoud,31.6804,6.0729,32.92,13,0,3.09,DZ,1697296380
116,obama,35.4958,135.746,16.64,93,100,1.77,JP,1697296380
117,longgang,37.6508,120.3286,18.65,49,0,3.06,CN,1697296381
118,lethem,3.3803,-59.7968,36.03,39,47,3.42,GY,1697296381
119,sankeshwar,16.2667,74.4833,26.8,64,96,2.08,IN,1697296381
120,andreyevo,55.9465,41.1505,7.16,85,100,6.25,RU,1697296381
121,papatowai,-46.5619,169.4708,5.0,91,37,5.19,NZ,1697296381
122,atafu village,-8.5421,-172.5159,28.48,76,100,10.53,TK,1697296381
123,villa gesell,-37.2639,-56.973,16.9,46,45,1.52,AR,1697296154
124,ogurugu,6.7856,6.9505,31.1,66,96,1.04,NG,1697296381
125,amga,60.8953,131.9608,-3.9,81,100,2.68,RU,1697296382
126,sitka,57.0531,-135.33,13.94,67,100,9.77,US,1697296382
127,tolanaro,-25.0319,46.9987,24.6,75,3,0.68,MG,1697296220
128,vernon,50.2581,-119.2691,11.27,78,100,3.09,CA,1697296382
129,rio grande,-32.035,-52.0986,21.06,57,69,5.78,BR,1697296382
130,lerwick,60.1545,-1.1494,7.0,61,68,15.54,GB,1697296382
131,weno,7.4515,151.8468,28.97,84,100,5.14,FM,1697296382
132,san patricio,28.017,-97.5169,23.84,37,33,8.34,US,1697296383
133,constantia,44.1833,28.65,19.38,74,2,5.53,RO,1697296383
134,codrington,-38.2667,141.9667,10.95,66,97,3.09,AU,1697296383
135,pangody,65.85,74.4859,2.5,97,100,2.09,RU,1697296383
136,portland,45.5234,-122.6762,13.45,93,75,0.0,US,1697296201
137,kandahar,31.0,65.75,19.86,20,6,3.31,AF,1697296383
138,bikenibeu village,1.3673,173.1241,26.98,89,75,1.03,KI,1697296383
139,murghob,38.1702,73.9667,3.19,23,0,2.35,TJ,1697296383
140,cromwell,41.5951,-72.6454,14.84,72,20,0.0,US,1697296384
141,hamilton,39.1834,-84.5333,16.62,87,100,6.69,US,1697296140
142,flin flon,54.7682,-101.865,6.71,79,0,1.01,CA,1697296133
143,puerto armuelles,8.2833,-82.8667,27.99,74,90,2.24,PA,1697296384
144,iskateley,67.6803,53.1512,-2.21,93,71,1.79,RU,1697296384
145,puerto ayora,-0.7393,-90.3518,27.98,77,98,5.07,EC,1697296384
146,anadyr,64.75,177.4833,0.28,86,100,2.68,RU,1697296384
147,al artawiyah,26.5053,45.3444,30.93,10,0,1.29,SA,1697296384
148,severo-yeniseyskiy,60.3725,93.0408,0.88,90,100,4.02,RU,1697296384
149,sarina,-21.4333,149.2167,20.34,1,7,1.87,AU,1697296385
150,la passe,45.5549,-0.8967,18.34,54,71,4.98,FR,1697296385
151,puerto rosario,-24.45,-57.0833,31.53,33,58,1.32,PY,1697296385
152,pavilosta,56.8879,21.1859,11.95,76,0,13.17,LV,1697296385
153,kourou,5.1552,-52.6478,33.03,53,24,4.87,GF,1697296385
154,dombarovskiy,50.7587,59.5386,8.89,37,94,10.28,RU,1697296261
155,khairpur nathan shah,27.0936,67.7337,33.62,22,1,3.41,PK,1697296385
156,chernomorskoye,45.5039,32.6997,17.32,71,0,4.64,UA,1697296386
157,invercargill,-46.4,168.35,6.68,85,48,3.13,NZ,1697296386
158,broome,42.2506,-75.833,9.64,94,100,0.45,US,1697296090
159,xining,36.6167,101.7667,7.79,46,0,0.17,CN,1697296386
160,lebu,-37.6167,-73.65,12.39,69,99,7.23,CL,1697296251
161,brookings,44.3114,-96.7984,7.88,89,100,5.66,US,1697296386
162,daru,-9.0763,143.2092,26.01,80,98,5.74,PG,1697296386
163,mulanje,-16.0316,35.5,36.61,18,7,2.36,MW,1697296387
164,grafenwohr,49.7189,11.9067,14.87,82,75,3.09,DE,1697296387
165,taoudenni,22.6783,-3.9836,36.47,10,1,4.2,ML,1697296387
166,vilyuchinsk,52.9306,158.4028,5.14,96,100,1.51,RU,1697296387
167,guatrache,-37.6678,-63.5302,22.04,21,97,9.47,AR,1697296387
168,parras de la fuente,25.4167,-102.1833,20.25,71,69,4.98,MX,1697296175
169,eydhafushi,5.1033,73.0708,28.13,69,100,3.59,MV,1697296388
170,madang,-5.2246,145.7966,24.99,92,47,0.81,PG,1697296388
171,faenza,44.2857,11.8833,27.88,50,20,7.6,IT,1697296388
172,romanovo,52.6182,81.2271,8.32,50,100,6.49,RU,1697296388
173,al hillah,32.4801,44.4353,32.63,18,3,4.17,IQ,1697296388
174,mangaratiba,-22.9597,-44.0406,20.01,93,100,3.32,BR,1697296157
175,cova figueira,14.8905,-24.2934,26.29,75,100,4.93,CV,1697296388
176,ketchikan,55.3422,-131.6461,12.26,94,100,5.66,US,1697296389
177,guiyang,26.5833,106.7167,14.89,86,65,1.6,CN,1697296389
178,panaba,21.2833,-88.2667,32.64,58,62,4.02,MX,1697296389
179,tevriz,57.509,72.4042,5.59,82,91,3.41,RU,1697296389
180,tarauaca,-8.1614,-70.7656,25.22,84,100,1.71,BR,1697296389
181,mahina,-17.5065,-149.489,22.87,78,20,1.54,PF,1697296389
182,bamboo flat,11.7,92.7167,27.43,80,97,1.77,IN,1697296389
183,princeville,45.7668,-61.2985,12.73,96,100,8.23,CA,1697296390
184,port elizabeth,-33.918,25.5701,17.95,65,96,2.24,ZA,1697296238
185,merizo village,13.2658,144.6691,24.31,96,100,9.51,GU,1697296390
186,kolokani,13.5728,-8.0339,37.76,20,47,3.31,ML,1697296390
187,jiazi,22.8779,116.067,24.18,83,62,2.64,CN,1697296390
188,ippy,6.2679,21.2247,27.23,88,97,1.25,CF,1697296390
189,ain touta,35.3768,5.9,24.96,22,0,4.16,DZ,1697296390
190,outjo,-20.1167,16.15,31.82,12,65,10.67,NA,1697296390
191,robertsport,6.7533,-11.3686,24.96,91,100,3.83,LR,1697296391
192,saint-pierre,-21.3393,55.4781,23.82,73,100,4.12,RE,1697296391
193,broken hill,-31.95,141.4333,16.07,46,0,5.37,AU,1697296391
194,nahiyat ash shinafiyah,31.5874,44.6602,34.31,18,6,2.51,IQ,1697296391
195,salalah,17.0151,54.0924,28.05,83,75,2.57,OM,1697296391
196,tyrnava,64.7647,25.6523,7.27,93,81,3.87,FI,1697296391
197,buenavista del norte,28.3746,-16.861,35.25,52,79,0.93,ES,1697296391
198,hithadhoo,-0.6,73.0833,27.65,75,11,3.27,MV,1697296392
199,porto barra do ivinheima,-22.9667,-53.6667,29.98,46,24,2.35,BR,1697296392
200,queenstown,-31.8976,26.8753,15.06,49,35,6.22,ZA,1697296392
201,tralee,52.2704,-9.7026,11.14,66,20,3.09,IE,1697296392
202,longyearbyen,78.2186,15.6401,0.91,60,75,5.14,SJ,1697296392
203,sassandra,4.95,-6.0833,28.11,74,39,3.54,CI,1697296392
204,lambarene,-0.7001,10.2406,30.01,79,100,1.17,GA,1697296392
205,las tablas,7.7667,-80.2833,29.49,71,97,1.09,PA,1697296392
206,qaqortoq,60.7167,-46.0333,6.77,45,93,1.63,GL,1697296393
207,carutapera,-1.195,-46.02,31.58,57,52,4.64,BR,1697296393
208,port sudan,19.6175,37.2164,30.38,62,0,5.43,SD,1697296393
209,atar,20.5169,-13.0499,39.77,9,54,4.15,MR,1697296393
210,araguaina,-7.1911,-48.2072,39.35,22,6,2.82,BR,1697296266
211,galveston,29.3669,-94.9669,22.23,53,0,10.29,US,1697296393
212,chonchi,-42.6128,-73.8092,10.56,71,100,2.0,CL,1697296393
213,neiafu,-18.65,-173.9833,22.38,94,20,0.0,TO,1697296393
214,buta,2.7858,24.73,27.45,70,91,2.02,CD,1697296394
215,santo antonio,-6.3106,-35.4789,33.61,36,64,7.24,BR,1697296394
216,ratnagiri,16.9833,73.3,26.3,78,53,1.33,IN,1697296394
217,key west,24.5557,-81.7826,32.0,77,20,5.66,US,1697296234
218,bati,11.1833,40.0167,23.52,43,97,1.72,ET,1697296394
219,kalispell,48.1958,-114.3129,8.15,95,0,1.54,US,1697296394
220,tadine,-21.55,167.8833,21.0,92,60,4.11,NC,1697296394
221,utrik,11.2278,169.8474,27.99,75,100,3.72,MH,1697296394
222,atascadero,35.4894,-120.6707,13.47,69,2,1.15,US,1697296394
223,berezovo,63.9381,65.0419,3.31,98,91,4.02,RU,1697296395
224,arica,-18.475,-70.3042,22.75,72,81,2.79,CL,1697296395
225,mil'kovo,55.6078,37.7956,14.27,78,100,7.32,RU,1697296395
226,trincomalee,8.5711,81.2335,26.98,78,65,1.41,LK,1697296395
227,chagoda,59.164,35.3285,13.01,92,100,6.4,RU,1697296130
228,milford haven,51.7128,-5.0341,12.81,70,1,7.57,GB,1697296362
229,palmer,42.1584,-72.3287,13.76,81,100,1.43,US,1697296219
230,tongliao,43.6125,122.2653,12.52,36,4,4.36,CN,1697296396
231,tromso,69.6496,18.957,2.01,64,0,2.57,NO,1697296396
232,la ronge,55.1001,-105.2842,8.14,76,75,4.63,CA,1697296396
233,inari,68.906,27.0288,-0.89,84,100,6.17,FI,1697296396
234,an nuhud,12.7,28.4333,37.37,16,22,3.77,SD,1697296396
235,bhawanipatna,19.9,83.1667,24.48,67,0,1.41,IN,1697296396
236,qamdo,31.1667,97.2333,1.94,49,97,1.87,CN,1697296396
237,barentu,15.1139,37.5928,31.9,29,54,3.15,ER,1697296396
238,praia,14.9215,-23.5087,30.3,74,40,4.63,CV,1697296344
239,whakatane,-37.9585,176.9854,16.4,89,99,2.24,NZ,1697296397
240,velingara,13.15,-14.1167,34.3,48,57,2.72,SN,1697296397
241,denov,38.2667,67.9,16.64,34,0,2.1,UZ,1697296397
242,touros,-5.1989,-35.4608,29.89,59,10,7.74,BR,1697296397
